sense_uid	seq	trad	simp	pinyin
結構|结构|jie2 gou4~2	0	座	座	zuo4
結構|结构|jie2 gou4~2	1	個	个	ge4
經歷|经历|jing1 li4~1	0	段	段	duan4
經歷|经历|jing1 li4~1	1	次	次	ci4
經過|经过|jing1 guo4~2	0	個	个	ge4
緊張|紧张|jin3 zhang1~1	0	陣	阵	zhen4
線|线|xian4~1	0	條	条	tiao2
線|线|xian4~1	1	股	股	gu3
線|线|xian4~1	2	根	根	gen1
總統|总统|zong3 tong3~1	0	個	个	ge4
總統|总统|zong3 tong3~1	1	位	位	wei4
總統|总统|zong3 tong3~1	2	名	名	ming2
總統|总统|zong3 tong3~1	3	屆	届	jie4
習慣|习惯|xi2 guan4~1	0	個	个	ge4
考試|考试|kao3 shi4~1	0	次	次	ci4
聲明|声明|sheng1 ming2~1	0	項	项	xiang4
聲明|声明|sheng1 ming2~1	1	份	份	fen4
能力|能力|neng2 li4~1	0	個	个	ge4
腳|脚|jiao3~1	0	雙	双	shuang1
腳|脚|jiao3~1	1	隻	只	zhi1
船|船|chuan2~1	0	條	条	tiao2
船|船|chuan2~1	1	艘	艘	sou1
船|船|chuan2~1	2	隻	只	zhi1
色|色|se4~1	0	種	种	zhong3
花園|花园|hua1 yuan2~1	0	座	座	zuo4
英雄|英雄|ying1 xiong2~1	0	個	个	ge4
茶|茶|cha2~1	0	杯	杯	bei1
茶|茶|cha2~1	1	壺	壶	hu2
草|草|cao3~1	0	棵	棵	ke1
草|草|cao3~1	1	撮	撮	zuo3
草|草|cao3~1	2	株	株	zhu1
草|草|cao3~1	3	根	根	gen1
菜|菜|cai4~1	0	棵	棵	ke1
菜|菜|cai4~2	0	樣	样	yang4
菜|菜|cai4~2	1	道	道	dao4
菜|菜|cai4~2	2	盤	盘	pan2
藝術家|艺术家|yi4 shu4 jia1~1	0	個	个	ge4
藝術家|艺术家|yi4 shu4 jia1~1	1	位	位	wei4
藝術家|艺术家|yi4 shu4 jia1~1	2	名	名	ming2
藥|药|yao4~1	0	種	种	zhong3
藥|药|yao4~1	1	服	服	fu4
藥|药|yao4~1	2	味	味	wei4
蘋果|苹果|ping2 guo3~1	0	個	个	ge4
蘋果|苹果|ping2 guo3~1	1	顆	颗	ke1
虎|虎|hu3~1	0	隻	只	zhi1
血|血|xue4~1	0	滴	滴	di1
血|血|xue4~1	1	片	片	pian4
行動|行动|xing2 dong4~1	0	個	个	ge4
街|街|jie1~1	0	條	条	tiao2
街道|街道|jie1 dao4~1	0	條	条	tiao2
衛星|卫星|wei4 xing1~1	0	顆	颗	ke1
表演|表演|biao3 yan3~1	0	場	场	chang3
要求|要求|yao1 qiu2~1	0	點	点	dian3
覺|觉|jiao4~1	0	場	场	chang2
觀點|观点|guan1 dian3~1	0	個	个	ge4
角|角|jiao3~1	0	個	个	ge4
解釋|解释|jie3 shi4~1	0	個	个	ge4
計劃|计划|ji4 hua4~1	0	個	个	ge4
計劃|计划|ji4 hua4~1	1	項	项	xiang4
訓練|训练|xun4 lian4~1	0	個	个	ge4
記者|记者|ji4 zhe3~1	0	個	个	ge4
記錄|记录|ji4 lu4~1	0	個	个	ge4
訪問|访问|fang3 wen4~1	0	次	次	ci4
評論|评论|ping2 lun4~2	0	篇	篇	pian1
詞|词|ci2~3	0	首	首	shou3
試驗|试验|shi4 yan4~1	0	次	次	ci4
試驗|试验|shi4 yan4~1	1	個	个	ge4
詩|诗|shi1~1	0	首	首	shou3
話|话|hua4~1	0	種	种	zhong3
話|话|hua4~1	1	席	席	xi2
話|话|hua4~1	2	句	句	ju4
話|话|hua4~1	3	口	口	kou3
話|话|hua4~1	4	番	番	fan1
語言|语言|yu3 yan2~1	0	門	门	men2
語言|语言|yu3 yan2~1	1	種	种	zhong3
說明|说明|shuo1 ming2~2	0	個	个	ge4
課|课|ke4~1	0	堂	堂	tang2
課|课|ke4~1	1	節	节	jie2
課|课|ke4~2	0	門	门	men2
課程|课程|ke4 cheng2~1	0	堂	堂	tang2
課程|课程|ke4 cheng2~1	1	節	节	jie2
課程|课程|ke4 cheng2~1	2	門	门	men2
調查|调查|diao4 cha2~1	0	項	项	xiang4
調查|调查|diao4 cha2~1	1	個	个	ge4
談判|谈判|tan2 pan4~1	0	個	个	ge4
請求|请求|qing3 qiu2~1	0	個	个	ge4
證明|证明|zheng4 ming2~2	0	個	个	ge4
象|象|xiang4~1	0	隻	只	zhi1
豬|猪|zhu1~1	0	口	口	kou3
豬|猪|zhu1~1	1	頭	头	tou2
貓|猫|mao1~1	0	隻	只	zhi1
財產|财产|cai2 chan3~1	0	筆	笔	bi3
貢獻|贡献|gong4 xian4~1	0	個	个	ge4
資料|资料|zi1 liao4~1	0	份	份	fen4
資料|资料|zi1 liao4~1	1	個	个	ge4
距離|距离|ju4 li2~1	0	個	个	ge4
路|路|lu4~1	0	條	条	tiao2
路線|路线|lu4 xian4~1	0	條	条	tiao2
車|车|che1~1	0	輛	辆	liang4
