entry_id	toned	plain	kind
其中|其中|qi2 zhong1	qi2zhong1	qizhong	canonical
其他|其他|qi2 ta1	qi2ta1	qita	canonical
其它|其它|qi2 ta1	qi2ta1	qita	canonical
其實|其实|qi2 shi2	qi2shi2	qishi	canonical
具|具|ju4	ju4	ju	canonical
具有|具有|ju4 you3	ju4you3	juyou	canonical
具體|具体|ju4 ti3	ju4ti3	juti	canonical
再|再|zai4	zai4	zai	canonical
再次|再次|zai4 ci4	zai4ci4	zaici	canonical
冒險|冒险|mao4 xian3	mao4xian3	maoxian	canonical
冠軍|冠军|guan4 jun1	guan4jun1	guanjun	canonical
冰|冰|bing1	bing1	bing	canonical
冷|冷|leng3	leng3	leng	canonical
准|准|zhun3	zhun3	zhun	canonical
几|几|ji1	ji1	ji	canonical
凱|凯|kai3	kai3	kai	canonical
出來|出来|chu1 lai2	chu1lai2	chulai	canonical
出來|出来|chu5 lai5	chu5lai5	chulai	canonical
出口|出口|chu1 kou3	chu1kou3	chukou	canonical
出席|出席|chu1 xi2	chu1xi2	chuxi	canonical
出版|出版|chu1 ban3	chu1ban3	chuban	canonical
出現|出现|chu1 xian4	chu1xian4	chuxian	canonical
出生|出生|chu1 sheng1	chu1sheng1	chusheng	canonical
出發|出发|chu1 fa1	chu1fa1	chufa	canonical
刀|刀|dao1	dao1	dao	canonical
分|分|fen1	fen1	fen	canonical
分|分|fen4	fen4	fen	canonical
分別|分别|fen1 bie2	fen1bie2	fenbie	canonical
分子|分子|fen1 zi3	fen1zi3	fenzi	canonical
分子|分子|fen4 zi3	fen4zi3	fenzi	canonical
分析|分析|fen1 xi1	fen1xi1	fenxi	canonical
分鐘|分钟|fen1 zhong1	fen1zhong1	fenzhong	canonical
切|切|qie1	qie1	qie	canonical
切|切|qie4	qie4	qie	canonical
划|划|hua2	hua2	hua	canonical
列|列|lie4	lie4	lie	canonical
列車|列车|lie4 che1	lie4che1	lieche	canonical
初|初|chu1	chu1	chu	canonical
別|别|bie2	bie2	bie	canonical
別人|别人|bie2 ren5	bie2ren5	bieren	canonical
利|利|li4	li4	li	canonical
利用|利用|li4 yong4	li4yong4	liyong	canonical
利益|利益|li4 yi4	li4yi4	liyi	canonical
到|到|dao4	dao4	dao	canonical
到達|到达|dao4 da2	dao4da2	daoda	canonical
制|制|zhi4	zhi4	zhi	canonical
刺激|刺激|ci4 ji1	ci4ji1	ciji	canonical
刻|刻|ke4	ke4	ke	canonical
則|则|ze2	ze2	ze	canonical
前|前|qian2	qian2	qian	canonical
